Antibiotic,Resistant,Interpretable,Resistance_percent,Lower_CI,Upper_CI
Amikacin,19070,43091,44.255180896242834,43.78675002598359,44.724635948760195
Ampicillin,2754016,5614475,49.05206631074143,49.01071602688153,49.09341789176472
Azithromycin,1188,17777,6.682792372166283,6.32497600471573,7.059325656891548
Benzylpenicillin,1389,35261,3.939196279175293,3.7411246562875666,4.14730286455949
Cefepime,468519,3582484,13.078048638877382,13.043174824102596,13.11300163558495
Cefixime,1275,7815,16.314779270633398,15.51214686304051,17.15051131043634
Cefotaxime,707875,3637283,19.461642110333454,19.420987839854963,19.502360885949653
Cefoxitin,11896,50874,23.383260604631047,23.017476294787325,23.753064232330896
Ceftazidime,576268,4844972,11.894145105482549,11.865350172188856,11.923000465113622
Ceftriaxone,557167,3148784,17.694671974959224,17.65256000522483,17.736862768414706
Ciprofloxacin,1323176,7617541,17.370119832633655,17.3432326730921,17.397039902080856
Colistin,4813,208288,2.310742817637118,2.2470938432745,2.3761508269803904
Doripenem,942,18628,5.056903585999571,4.751407671492934,5.380931974017259
Ertapenem,43630,2650501,1.6461038875291878,1.63085559182959,1.6614923448295724
Gentamicin,21492,40118,53.57196271000548,53.08362420969747,54.05961721640092
Imipenem,81447,3610661,2.2557365535008684,2.240471301581563,2.2711033975811787
Levofloxacin,786296,3082407,25.509155669579002,25.460522796217415,25.557849586438568
Meropenem,70049,5365938,1.305438117249957,1.2958689647677453,1.3150769902620558
Meticillin,81329,364428,22.316891128014312,22.18200024215481,22.452365626558894
Minocycline,1485,13834,10.734422437472894,10.229450436587667,11.261195107158391
Oxacillin,20682,87912,23.525798525798525,23.246574760429613,23.807335857257144
Spectinomycin,1,11452,0.008732099196646874,0.0015414465548930214,0.0494496468684221
Tigecycline,499,4943,10.095083957111067,9.285980826255033,10.966163236989898
Tinidazole,108929,677387,16.080763285979803,15.993474674208935,16.16843660726574
Trimethoprim/sulfamethoxazole,766514,2818403,27.196749364799857,27.14483108420583,27.24872980657444
