AbTargets,resistant,interpretable,resistance_percent
Amikacin,19070,43091,44.255180896242834
Ampicillin,2754016,5614475,49.05206631074143
Azithromycin,1188,17777,6.682792372166283
Benzylpenicillin,1389,35261,3.939196279175293
Cefepime,468519,3582484,13.078048638877382
Cefixime,1275,7815,16.314779270633398
Cefotaxime,707875,3637283,19.461642110333454
Cefoxitin,11896,50874,23.383260604631047
Ceftazidime,576268,4844972,11.894145105482549
Ceftriaxone,557167,3148784,17.694671974959224
Ciprofloxacin,1323176,7617541,17.370119832633655
Colistin,4813,208288,2.310742817637118
Doripenem,942,18628,5.056903585999571
Ertapenem,43630,2650501,1.6461038875291878
Gentamicin,21492,40118,53.57196271000548
Imipenem,81447,3610661,2.2557365535008684
Levofloxacin,786296,3082407,25.509155669579002
Meropenem,70049,5365938,1.305438117249957
Meticillin,81329,364428,22.316891128014312
Minocycline,1485,13834,10.734422437472894
Oxacillin,20682,87912,23.525798525798525
Spectinomycin,1,11452,0.008732099196646874
Tigecycline,499,4943,10.095083957111067
Tinidazole,108929,677387,16.080763285979803
Trimethoprim/sulfamethoxazole,766514,2818403,27.196749364799857
