Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant,CalculatedPercentResistant,PercentDifference,valid_record
AFG,Afghanistan,Eastern Mediterranean Region,2019,Urine,Escherichia coli,Cefotaxime,28,12,8,66.6666666666667,66.66666666666666,4.263256414560601e-14,True
AFG,Afghanistan,Eastern Mediterranean Region,2019,Urine,Escherichia coli,Ceftazidime,28,14,3,21.4285714285714,21.428571428571427,-2.842170943040401e-14,True
AFG,Afghanistan,Eastern Mediterranean Region,2019,Urine,Escherichia coli,Ceftriaxone,28,27,19,70.3703703703704,70.37037037037037,2.842170943040401e-14,True
AFG,Afghanistan,Eastern Mediterranean Region,2019,Urine,Escherichia coli,Trimethoprim/sulfamethoxazole,28,16,11,68.75,68.75,0.0,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Acinetobacter,Amikacin,1982,29,6,20.6896551724138,20.689655172413794,7.105427357601002e-15,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Acinetobacter,Colistin,1982,24,2,8.33333333333333,8.333333333333332,-1.7763568394002505e-15,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Acinetobacter,Gentamicin,1982,67,27,40.2985074626866,40.298507462686565,3.552713678800501e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Acinetobacter,Imipenem,1982,65,29,44.6153846153846,44.61538461538462,-2.1316282072803006e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Acinetobacter,Meropenem,1982,68,29,42.6470588235294,42.64705882352941,-1.4210854715202004e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Acinetobacter,Minocycline,1982,35,7,20.0,20.0,0.0,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Escherichia coli,Ampicillin,1982,623,477,76.5650080256822,76.56500802568218,2.842170943040401e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Escherichia coli,Cefepime,1982,457,98,21.4442013129103,21.444201312910284,1.7763568394002505e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Escherichia coli,Cefotaxime,1982,532,254,47.7443609022556,47.744360902255636,-3.552713678800501e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Escherichia coli,Ceftazidime,1982,633,201,31.7535545023697,31.753554502369667,3.197442310920451e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Escherichia coli,Ceftriaxone,1982,136,71,52.2058823529412,52.20588235294118,2.1316282072803006e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Escherichia coli,Ciprofloxacin,1982,628,304,48.4076433121019,48.40764331210191,-1.4210854715202004e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Escherichia coli,Colistin,1982,31,0,0.0,0.0,0.0,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Escherichia coli,Ertapenem,1982,357,11,3.0812324929972,3.081232492997199,8.881784197001252e-16,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Escherichia coli,Imipenem,1982,620,9,1.45161290322581,1.4516129032258065,3.552713678800501e-15,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Escherichia coli,Levofloxacin,1982,31,9,29.0322580645161,29.03225806451613,-3.197442310920451e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Escherichia coli,Meropenem,1982,639,10,1.56494522691706,1.5649452269170578,2.220446049250313e-15,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Escherichia coli,Tinidazole,1982,136,71,52.2058823529412,52.20588235294118,2.1316282072803006e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Escherichia coli,Trimethoprim/sulfamethoxazole,1982,634,342,53.9432176656151,53.94321766561514,-3.552713678800501e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Klebsiella pneumoniae,Cefepime,1982,353,81,22.9461756373938,22.946175637393768,3.197442310920451e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Klebsiella pneumoniae,Cefotaxime,1982,396,125,31.5656565656566,31.565656565656564,3.552713678800501e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Klebsiella pneumoniae,Ceftazidime,1982,495,140,28.2828282828283,28.28282828282828,2.1316282072803006e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Klebsiella pneumoniae,Ceftriaxone,1982,119,57,47.8991596638655,47.89915966386555,-4.973799150320701e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Klebsiella pneumoniae,Ciprofloxacin,1982,486,116,23.8683127572016,23.868312757201647,-4.618527782440651e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Klebsiella pneumoniae,Ertapenem,1982,259,29,11.1969111969112,11.196911196911197,3.552713678800501e-15,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Klebsiella pneumoniae,Imipenem,1982,476,47,9.87394957983193,9.873949579831933,-3.552713678800501e-15,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Klebsiella pneumoniae,Levofloxacin,1982,32,13,40.625,40.625,0.0,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Klebsiella pneumoniae,Meropenem,1982,495,63,12.7272727272727,12.727272727272727,-2.6645352591003757e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Klebsiella pneumoniae,Trimethoprim/sulfamethoxazole,1982,496,162,32.6612903225806,32.66129032258064,-4.263256414560601e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Salmonella,Cefotaxime,1982,59,1,1.69491525423729,1.694915254237288,1.9984014443252818e-15,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Salmonella,Ceftazidime,1982,67,0,0.0,0.0,0.0,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Salmonella,Ceftriaxone,1982,40,1,2.5,2.5,0.0,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Salmonella,Ciprofloxacin,1982,69,26,37.6811594202899,37.68115942028986,4.263256414560601e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Salmonella,Ertapenem,1982,41,0,0.0,0.0,0.0,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Salmonella,Imipenem,1982,66,0,0.0,0.0,0.0,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Salmonella,Levofloxacin,1982,14,9,64.2857142857143,64.28571428571429,1.4210854715202004e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Salmonella,Meropenem,1982,71,0,0.0,0.0,0.0,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Staphylococcus aureus,Meticillin,1982,364,124,34.0659340659341,34.065934065934066,3.552713678800501e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Streptococcus pneumoniae,Benzylpenicillin,1982,66,20,30.3030303030303,30.303030303030305,-3.552713678800501e-15,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Streptococcus pneumoniae,Cefotaxime,1982,29,1,3.44827586206897,3.4482758620689653,4.884981308350689e-15,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Streptococcus pneumoniae,Ceftriaxone,1982,80,0,0.0,0.0,0.0,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Blood,Streptococcus pneumoniae,Trimethoprim/sulfamethoxazole,1982,59,12,20.3389830508475,20.33898305084746,3.907985046680551e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Stool,Salmonella,Cefotaxime,653,278,11,3.9568345323741,3.9568345323741005,-4.440892098500626e-16,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Stool,Salmonella,Ceftazidime,653,334,10,2.9940119760479,2.9940119760479043,-4.440892098500626e-15,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Stool,Salmonella,Ceftriaxone,653,227,4,1.76211453744493,1.762114537444934,-3.9968028886505635e-15,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Stool,Salmonella,Ciprofloxacin,653,468,45,9.61538461538462,9.615384615384617,3.552713678800501e-15,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Stool,Salmonella,Ertapenem,653,265,0,0.0,0.0,0.0,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Stool,Salmonella,Imipenem,653,322,0,0.0,0.0,0.0,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Stool,Salmonella,Levofloxacin,653,40,3,7.5,7.5,0.0,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Stool,Salmonella,Meropenem,653,334,0,0.0,0.0,0.0,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Stool,Shigella,Cefotaxime,653,23,8,34.7826086956522,34.78260869565217,2.842170943040401e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Stool,Shigella,Ceftazidime,653,32,2,6.25,6.25,0.0,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Stool,Shigella,Ceftriaxone,653,37,10,27.027027027027,27.027027027027028,-2.842170943040401e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Stool,Shigella,Ciprofloxacin,653,58,8,13.7931034482759,13.793103448275861,3.907985046680551e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Escherichia coli,Ampicillin,13558,8982,5869,65.3417947005121,65.34179470051214,-4.263256414560601e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Escherichia coli,Cefepime,13558,6533,752,11.5107913669065,11.510791366906476,2.3092638912203256e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Escherichia coli,Cefotaxime,13558,6524,2086,31.9742489270386,31.97424892703863,-2.842170943040401e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Escherichia coli,Ceftazidime,13558,8798,1643,18.6746987951807,18.67469879518072,-2.1316282072803006e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Escherichia coli,Ceftriaxone,13558,2477,832,33.589018974566,33.58901897456601,-7.105427357601002e-15,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Escherichia coli,Ciprofloxacin,13558,9554,3189,33.3786895541135,33.378689554113464,3.552713678800501e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Escherichia coli,Colistin,13558,59,0,0.0,0.0,0.0,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Escherichia coli,Ertapenem,13558,4476,35,0.781948168007149,0.7819481680071492,-2.220446049250313e-16,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Escherichia coli,Imipenem,13558,8670,44,0.507497116493656,0.5074971164936563,-2.220446049250313e-16,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Escherichia coli,Levofloxacin,13558,790,201,25.4430379746835,25.44303797468355,-4.973799150320701e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Escherichia coli,Meropenem,13558,9075,46,0.506887052341598,0.5068870523415978,2.220446049250313e-16,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Escherichia coli,Trimethoprim/sulfamethoxazole,13558,9950,4101,41.21608040201,41.21608040201005,-4.973799150320701e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Klebsiella pneumoniae,Cefepime,13558,1965,273,13.8931297709924,13.893129770992365,3.552713678800501e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Klebsiella pneumoniae,Cefotaxime,13558,1976,568,28.7449392712551,28.74493927125506,3.907985046680551e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Klebsiella pneumoniae,Ceftazidime,13558,2653,549,20.6935544666415,20.693554466641537,-3.552713678800501e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Klebsiella pneumoniae,Ceftriaxone,13558,724,226,31.2154696132597,31.215469613259668,3.197442310920451e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Klebsiella pneumoniae,Ciprofloxacin,13558,2829,428,15.1290208554259,15.129020855425946,-4.618527782440651e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Klebsiella pneumoniae,Colistin,13558,82,14,17.0731707317073,17.073170731707318,-1.7763568394002505e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Klebsiella pneumoniae,Ertapenem,13558,1340,66,4.92537313432836,4.925373134328359,1.7763568394002505e-15,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Klebsiella pneumoniae,Imipenem,13558,2615,136,5.20076481835564,5.2007648183556405,-8.881784197001252e-16,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Klebsiella pneumoniae,Levofloxacin,13558,193,19,9.84455958549223,9.844559585492227,1.7763568394002505e-15,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Klebsiella pneumoniae,Meropenem,13558,2714,164,6.04274134119381,6.0427413411938105,-8.881784197001252e-16,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,Urine,Klebsiella pneumoniae,Trimethoprim/sulfamethoxazole,13558,2938,856,29.1354663036079,29.1354663036079,0.0,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,Blood,Acinetobacter,Amikacin,2452,17,3,17.6470588235294,17.647058823529413,-1.4210854715202004e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,Blood,Acinetobacter,Colistin,2452,22,1,4.54545454545455,4.545454545454546,4.440892098500626e-15,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,Blood,Acinetobacter,Gentamicin,2452,103,46,44.6601941747573,44.66019417475729,1.4210854715202004e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,Blood,Acinetobacter,Imipenem,2452,98,46,46.9387755102041,46.93877551020408,2.1316282072803006e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,Blood,Acinetobacter,Meropenem,2452,99,46,46.4646464646465,46.464646464646464,3.552713678800501e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,Blood,Acinetobacter,Minocycline,2452,43,12,27.906976744186,27.906976744186046,-4.618527782440651e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,Blood,Escherichia coli,Ampicillin,2452,787,600,76.2388818297332,76.23888182973316,4.263256414560601e-14,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,Blood,Escherichia coli,Cefepime,2452,607,113,18.6161449752883,18.616144975288304,-3.552713678800501e-15,True
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,Blood,Escherichia coli,Cefotaxime,2452,584,280,47.945205479452,47.94520547945205,-4.973799150320701e-14,True
